レグザ（Test）,1.00,0.00
レグザ（Test）,1.00,0.27
レグザ（Test）,1.00,0.27
レグザ（Test）,1.00,0.53
レグザ（Test）,1.00,0.53
レグザ（Test）,1.00,0.81
レグザ（Test）,1.00,0.81
レグザ（Test）,1.17,1.01
レグザ（Test）,1.17,1.01
レグザ（Test）,4.08,1.17
レグザ（Test）,4.08,1.17
レグザ（Test）,3.98,1.17
レグザ（Test）,3.98,1.17
レグザ（Test）,4.70,1.35
レグザ（Test）,4.70,1.35
レグザ（Test）,4.77,1.35
レグザ（Test）,4.77,1.35
レグザ（Test）,5.77,1.51
レグザ（Test）,5.77,1.51
レグザ（Test）,5.78,1.51
レグザ（Test）,5.78,1.51
レグザ（Test）,7.23,1.68
レグザ（Test）,7.23,1.68
レグザ（Test）,7.20,1.84
レグザ（Test）,7.20,1.85
レグザ（Test）,7.29,1.85
レグザ（Test）,7.29,1.85
レグザ（Test）,4.85,2.02
レグザ（Test）,4.85,2.02
レグザ（Test）,8.65,2.18
レグザ（Test）,8.65,2.19
レグザ（Test）,9.30,2.34
レグザ（Test）,9.30,2.35
レグザ（Test）,9.11,2.51
レグザ（Test）,9.11,2.52
レグザ（Test）,6.59,2.68
レグザ（Test）,6.59,2.69
レグザ（Test）,3.32,2.87
レグザ（Test）,3.32,2.87
レグザ（Test）,3.26,2.87
レグザ（Test）,3.26,2.87
レグザ（Test）,3.01,3.03
レグザ（Test）,3.01,3.03
レグザ（Test）,3.01,3.29
レグザ（Test）,3.01,3.29
レグザ（Test）,3.01,3.56
レグザ（Test）,3.01,3.56
キリン　晴風,1.00,0.00
キリン　晴風,1.00,0.27
キリン　晴風,1.00,0.27
キリン　晴風,1.00,0.56
キリン　晴風,1.00,0.56
キリン　晴風,1.00,0.83
キリン　晴風,1.00,0.83
キリン　晴風,1.00,1.09
キリン　晴風,1.00,1.09
キリン　晴風,4.74,1.24
キリン　晴風,4.74,1.24
キリン　晴風,5.42,1.42
キリン　晴風,5.42,1.42
