レグザ（Test）,1.00,0.00
レグザ（Test）,1.00,0.23
レグザ（Test）,1.00,0.23
キリン　晴風,1.00,0.00
キリン　晴風,1.00,0.17
キリン　晴風,1.00,0.17
キリン　晴風,1.00,0.38
キリン　晴風,1.00,0.38
アサヒ　生,1.00,0.00
アサヒ　生,1.00,0.18
アサヒ　生,1.00,0.18
アサヒ　生,1.00,0.37
アサヒ　生,1.00,0.37
サントリー　プレミアムモルツ,1.00,0.00
サントリー　プレミアムモルツ,1.00,0.18
サントリー　プレミアムモルツ,1.00,0.18
サントリー　プレミアムモルツ,1.00,0.37
サントリー　プレミアムモルツ,1.00,0.37
かまいたち2019,1.00,0.00
かまいたち2019,1.00,0.17
かまいたち2019,1.00,0.17
かまいたち2019,1.00,0.35
かまいたち2019,1.00,0.35
ミルクボーイ2019,1.00,0.00
ミルクボーイ2019,1.00,0.17
ミルクボーイ2019,1.00,0.17
ミルクボーイ2019,1.00,0.36
ミルクボーイ2019,1.00,0.36
ぺこぱ2019,1.00,0.00
ぺこぱ2019,1.00,0.18
ぺこぱ2019,1.00,0.18
ぺこぱ2019,1.00,0.37
ぺこぱ2019,1.00,0.37
