レグザ（Test）,1.00,0.00
レグザ（Test）,1.00,0.18
レグザ（Test）,1.00,0.18
レグザ（Test）,1.00,0.45
レグザ（Test）,1.00,0.45
キリン　晴風,1.00,0.00
キリン　晴風,1.00,0.16
キリン　晴風,1.00,0.16
キリン　晴風,1.00,0.33
キリン　晴風,1.00,0.33
アサヒ　生,1.00,0.00
アサヒ　生,1.00,0.16
アサヒ　生,1.00,0.16
アサヒ　生,1.00,0.33
アサヒ　生,1.00,0.33
サントリー　プレミアムモルツ,1.00,0.00
サントリー　プレミアムモルツ,1.00,0.16
サントリー　プレミアムモルツ,1.00,0.16
サントリー　プレミアムモルツ,1.00,0.33
サントリー　プレミアムモルツ,1.00,0.33
かまいたち2019,1.00,0.00
かまいたち2019,1.00,0.17
かまいたち2019,1.00,0.17
かまいたち2019,1.00,0.34
かまいたち2019,1.00,0.34
ミルクボーイ2019,1.00,0.00
ミルクボーイ2019,1.00,0.17
ミルクボーイ2019,1.00,0.17
ミルクボーイ2019,1.00,0.35
ミルクボーイ2019,1.00,0.35
ミルクボーイ2019,1.00,0.55
ミルクボーイ2019,1.00,0.55
ぺこぱ2019,1.00,0.00
ぺこぱ2019,1.00,0.17
ぺこぱ2019,1.00,0.17
ぺこぱ2019,1.00,0.34
ぺこぱ2019,1.00,0.34
ぺこぱ2019,1.00,0.52
ぺこぱ2019,1.00,0.52
ぺこぱ2019,1.00,0.70
ぺこぱ2019,1.00,0.70
