レグザ（Test）,1.00,0.00
レグザ（Test）,1.00,0.18
レグザ（Test）,1.00,0.18
キリン　晴風,1.00,0.00
キリン　晴風,1.00,0.28
キリン　晴風,1.00,0.28
アサヒ　生,1.00,0.00
アサヒ　生,1.00,0.18
アサヒ　生,1.00,0.18
サントリー　プレミアムモルツ,1.00,0.00
サントリー　プレミアムモルツ,1.00,0.16
サントリー　プレミアムモルツ,1.00,0.16
かまいたち2019,1.00,0.00
かまいたち2019,1.00,0.18
かまいたち2019,1.00,0.18
かまいたち2019,1.00,0.35
かまいたち2019,1.00,0.35
かまいたち2019,1.00,0.53
かまいたち2019,1.00,0.53
かまいたち2019,1.00,0.71
かまいたち2019,1.00,0.71
ミルクボーイ2019,1.00,0.00
ミルクボーイ2019,1.00,0.20
ミルクボーイ2019,1.00,0.20
ぺこぱ2019,1.00,0.00
ぺこぱ2019,1.00,0.18
ぺこぱ2019,1.00,0.18
